id	is_active	created_at	updated_at	city	state	zone
193	1	NULL	NULL	Kanpur	Uttar Pradesh	North
194	1	NULL	NULL	Dehradun	Uttar Pradesh	North
195	1	NULL	NULL	Thane	Maharashtra	West
196	1	NULL	NULL	Poonamallee	Tamil Nadu	South
197	1	NULL	NULL	Ajmer	Rajasthan	North
198	1	NULL	NULL	MADURAI	Tamil Nadu	South
199	1	NULL	NULL	Guwahati	Assam	East
200	1	NULL	NULL	Perambur	Tamil Nadu	South
201	1	NULL	NULL	DEHRADUN	Uttar Pradesh	North
202	1	NULL	NULL	Raipur	Uttaranchal	West
203	1	NULL	NULL	Tambaram	Tamil Nadu	South
204	1	NULL	NULL	Ambattur	Tamil Nadu	South
205	1	NULL	NULL	Kalyan	Mumbai	West
206	1	NULL	NULL	Mysore	Karnataka	North
207	1	NULL	NULL	NAGPUR	Maharashtra	West
208	1	NULL	NULL	Rajkot	Gujarat	WEST
209	1	NULL	NULL	Vijayawada	Andhra Pradesh	South
210	1	NULL	NULL	Surat	Gujarat	West
211	1	NULL	NULL	CHINCHWAD	Maharashtra	West
212	1	NULL	NULL	Dewas	Madhya Pradesh	West
213	1	NULL	NULL	AGRA	Uttar Pradesh	North
214	1	NULL	NULL	Faridabad	Haryana	North
215	1	NULL	NULL	Karnal	Haryana	North
216	1	NULL	NULL	LUDHIANA	Punjab	North
217	1	NULL	NULL	Guntur	Andhra Pradesh	South
218	1	NULL	NULL	Chinchwad	Maharashtra	West
219	1	NULL	NULL	Rajkot	Gujarat	West
220	1	NULL	NULL	Delhi	DELHI	North
221	1	NULL	NULL	Chandigarh	Chandigarh *	North
222	1	NULL	NULL	Baroda	Gujarat	WEST
223	1	NULL	NULL	Guwahati	Assam	South
224	1	NULL	NULL	CHENNAI	Tamil Nadu	South
225	1	NULL	NULL	Chennai	Tamil Nadu	South
226	1	NULL	NULL	KALYAN	Mumbai	West
227	1	NULL	NULL	Indore	Madhya Pradesh	West
228	1	NULL	NULL	JAIPUR	Rajasthan	North
229	1	NULL	NULL	Bhopal	Madhya Pradesh	South
230	1	NULL	NULL	Andheri	Mumbai	South
231	1	NULL	NULL	Hyderabad	Uttar Pradesh	South
232	1	NULL	NULL	LUCKNOW	Uttar Pradesh	North
233	1	NULL	NULL	BHOPAL	West	West
234	1	NULL	NULL	Suchitra	Andhra Pradesh	South
235	1	NULL	NULL	Madurai	Tamil Nadu	South
236	1	NULL	NULL	CHANDIGARH	Chandigarh *	North
237	1	NULL	NULL	Uppal	Andhra Pradesh	South
238	1	NULL	NULL	SURAT	Gujarat	West
239	1	NULL	NULL	KOLKATA	West Bengal	East
240	1	NULL	NULL	NOIDA	Uttar Pradesh	North
241	1	NULL	NULL	Kolhapur	Maharashtra	West
242	1	NULL	NULL	JODHPUR	Gujarat	North
243	1	NULL	NULL	Madurai	Tamil Nadu	North
244	1	NULL	NULL	PUNE	Maharashtra	West
245	1	NULL	NULL	FARIDABAD	Haryana	North
246	1	NULL	NULL	Noida	Uttar Pradesh	North
247	1	NULL	NULL	DELHI	DELHI	North
248	1	NULL	NULL	Wagholi	Maharashtra	West
249	1	NULL	NULL	Panvel	Maharashtra	West
250	1	NULL	NULL	KARNAL	Haryana	North
251	1	NULL	NULL	INDORE	Madhya Pradesh	West
252	1	NULL	NULL	Bhel	Andhra Pradesh	South
253	1	NULL	NULL	Jalandhar	Punjab	South
254	1	NULL	NULL	TAMBARAM	Tamil Nadu	South
255	1	NULL	NULL	GURGAON	Haryana	North
256	1	NULL	NULL	Vijayanagara	Karnataka	South
257	1	NULL	NULL	Coimbatore	Tamil Nadu	South
258	1	NULL	NULL	Uttam Nagar	NCR	North
259	1	NULL	NULL	Peenya	Karnataka	South
260	1	NULL	NULL	Hubli	Karnataka	South
261	1	NULL	NULL	Zirakpur	Punjab	North
262	1	NULL	NULL	Belgaum	Karnataka	South
263	1	NULL	NULL	Virar	Maharashtra	West
264	1	NULL	NULL	Jaipur	Rajasthan	South
265	1	NULL	NULL	Ambattur	Tamil Nadu	North
266	1	NULL	NULL	Ranchi	Jharkhand	East
