name	category	isActive	businessUnit	employer_id	code
RUMI EDUCATION P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4WUAU	64533
RUN SERVICE INFO CARE PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4XUAU	64534
RUNA CHEMICALS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4YUAU	64535
RUNAWARE SOFTWARE PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4ZUAU	64536
RUNWAL AND KUNAL VENTURE	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4aUAE	64537
RUNWAL BUILDERS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4bUAE	64538
RUNWAL CONSTRUCTIONS	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4cUAE	64539
RUNWAL HOMES PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4dUAE	64540
RUNWAL HOUSING AND CONSTRUCTION P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005X4eUAE	64541
RUNWAL HOUSING AND TOWNSHIPS P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBiUAM	64542
RUNWAL REALTY PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBjUAM	64543
RUPA AND COMPANY	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBkUAM	64544
RUPA PUBLICATIONS (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBlUAM	64545
RURAL ELECTRIFICATION CORPORATION L	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBmUAM	64546
RURAL SHORES BUSINESS SERVICES P L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBnUAM	64547
RUSADA (I) PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBoUAM	64548
RUSAN MEDISYS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBpUAM	64549
RUSAN PHARMA	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBqUAM	64550
RUSHABH PRECISION	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBrUAM	64551
RUSHI AUTO INDS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBsUAM	64552
RUSHMI LOGISTICS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBtUAM	64553
RUSHMORE CONSULTANCY SERVICES P LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBuUAM	64554
RUSTOMJEE EVERSHINE JOINT VENTURE	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBvUAM	64555
RUTHINIUM DENTAL PRODUCTS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBwUAM	64556
RUTTONSHA INTL RECTIFIERS L	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBxUAM	64557
RV SOLUTIONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XByUAM	64558
RVPR CONSTRUCTIONS PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XBzUAM	64559
RVS CONSULTANTS	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XC0UAM	64560
RWE	CAT SA	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XC1UAM	64561
RWL HEALTH LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XC2UAM	64562
RX HEALTHCARE MAGIC PVT LTD	CAT C	1	Two Wheeler;Used Car;BIL PL;Cross Sell PL	a3F0I0000005XC3UAM	64563
